year,category,full_name,show,won
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A SUPPORTING ROLE,MARGOT ROBBIE,BOMBSHELL,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A SUPPORTING ROLE,JAMIE FOXX,JUST MERCY,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A SUPPORTING ROLE,TOM HANKS,A BEAUTIFUL DAY IN THE NEIGHBORHOOD,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A SUPPORTING ROLE,AL PACINO,THE IRISHMAN,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A SUPPORTING ROLE,JOE PESCI,THE IRISHMAN,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A SUPPORTING ROLE,BRAD PITT,ONCE UPON A TIME...IN HOLLYWOOD,TRUE
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A DRAMA SERIES,,BIG LITTLE LIES,FALSE
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A DRAMA SERIES,,THE CROWN,TRUE
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A DRAMA SERIES,,GAME OF THRONES,FALSE
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A DRAMA SERIES,,THE HANDMAID'S TALE,FALSE
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A DRAMA SERIES,,STRANGER THINGS,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A DRAMA SERIES,JENNIFER ANISTON,THE MORNING SHOW,TRUE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A DRAMA SERIES,HELENA BONHAM CARTER,THE CROWN,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A DRAMA SERIES,OLIVIA COLMAN,THE CROWN,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A DRAMA SERIES,JODIE COMER,KILLING EVE,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A DRAMA SERIES,ELISABETH MOSS,THE HANDMAID'S TALE,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A DRAMA SERIES,STERLING K. BROWN,THIS IS US,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A DRAMA SERIES,STEVE CARELL,THE MORNING SHOW,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A DRAMA SERIES,BILLY CRUDUP,THE MORNING SHOW,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A DRAMA SERIES,PETER DINKLAGE,GAME OF THRONES,TRUE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A DRAMA SERIES,DAVID HARBOUR,STRANGER THINGS,FALSE
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A COMEDY SERIES,,BARRY,FALSE
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A COMEDY SERIES,,FLEABAG,FALSE
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A COMEDY SERIES,,THE KOMINSKY METHOD,FALSE
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A COMEDY SERIES,,THE MARVELOUS MRS. MAISEL,TRUE
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A COMEDY SERIES,,SCHITT'S CREEK,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A COMEDY SERIES,CHRISTINA APPLEGATE,DEAD TO ME,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A COMEDY SERIES,ALEX BORSTEIN,THE MARVELOUS MRS. MAISEL,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A COMEDY SERIES,RACHEL BROSNAHAN,THE MARVELOUS MRS. MAISEL,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A COMEDY SERIES,CATHERINE O'HARA,SCHITT'S CREEK,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A COMEDY SERIES,PHOEBE WALLER-BRIDGE,FLEABAG,TRUE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A COMEDY SERIES,ALAN ARKIN,THE KOMINSKY METHOD,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A COMEDY SERIES,MICHAEL DOUGLAS,THE KOMINSKY METHOD,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A COMEDY SERIES,BILL HADER,BARRY,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A COMEDY SERIES,ANDREW SCOTT,FLEABAG,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A COMEDY SERIES,TONY SHALHOUB,THE MARVELOUS MRS. MAISEL,TRUE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,PATRICIA ARQUETTE,THE ACT,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,TONI COLLETTE,UNBELIEVEABLE,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,JOEY KING,THE ACT,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,EMILY WATSON,CHERNOBYL,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,MICHELLE WILLIAMS,FOSSE/VERDON,TRUE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,MAHERSHALA ALI,TRUE DETECTIVE,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,RUSSELL CROWE,THE LOUDEST VOICE,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,JARED HARRIS,CHERNOBYL,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,JHARREL JEROME,WHEN THEY SEE US,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,SAM ROCKWELL,FOSSE/VERDON,TRUE
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A MOTION PICTURE,,AVENGERS: ENDGAME,TRUE
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A MOTION PICTURE,,FORD V FERRARI,FALSE
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A MOTION PICTURE,,THE IRISHMAN,FALSE
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A MOTION PICTURE,,JOKER,FALSE
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A MOTION PICTURE,,ONCE UPON A TIME...IN HOLLYWOOD,FALSE
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A COMEDY OR DRAMA SERIES,,GAME OF THRONES,TRUE
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A COMEDY OR DRAMA SERIES,,GLOW,FALSE
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A COMEDY OR DRAMA SERIES,,STRANGER THINGS,FALSE
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A COMEDY OR DRAMA SERIES,,THE WALKING DEAD,FALSE
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A COMEDY OR DRAMA SERIES,,WATCHMEN,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,,A STAR IS BORN ,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,ANDREW DICE CLAY,A STAR IS BORN ,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,ANTHONY RAMOS,A STAR IS BORN,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,BRADLEY COOPER,A STAR IS BORN ,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,DAVE CHAPPELLE,A STAR IS BORN,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,LADY GAGA,A STAR IS BORN ,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,RAFI GAVRON,A STAR IS BORN ,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,SAM ELLIOTT,A STAR IS BORN,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,,BLACK PANTHER,TRUE
2019 - 25th Annual,CAST IN A MOTION PICTURE,ANDY SERKIS ,BLACK PANTHER,TRUE
2019 - 25th Annual,CAST IN A MOTION PICTURE,ANGELA BASSETT,BLACK PANTHER,TRUE
2019 - 25th Annual,CAST IN A MOTION PICTURE,CHADWICK BOSEMAN,BLACK PANTHER,TRUE
2019 - 25th Annual,CAST IN A MOTION PICTURE,DANAI GURIRA,BLACK PANTHER,TRUE
2019 - 25th Annual,CAST IN A MOTION PICTURE,DANIEL KALUUYA,BLACK PANTHER,TRUE
2019 - 25th Annual,CAST IN A MOTION PICTURE,FOREST  WHITAKER,BLACK PANTHER,TRUE
2019 - 25th Annual,CAST IN A MOTION PICTURE,LETITIA WRIGHT,BLACK PANTHER,TRUE
2019 - 25th Annual,CAST IN A MOTION PICTURE,LUPITA NYONG’O,BLACK PANTHER,TRUE
2019 - 25th Annual,CAST IN A MOTION PICTURE,MARTIN FREEMAN,BLACK PANTHER,TRUE
2019 - 25th Annual,CAST IN A MOTION PICTURE,MICHAEL B. JORDAN,BLACK PANTHER,TRUE
2019 - 25th Annual,CAST IN A MOTION PICTURE,STERLING K. BROWN,BLACK PANTHER,TRUE
2019 - 25th Annual,CAST IN A MOTION PICTURE,WINSTON DUKE,BLACK PANTHER,TRUE
2019 - 25th Annual,CAST IN A MOTION PICTURE,,BLACKKKLANSMAN,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,ADAM DRIVER,BLACKKKLANSMAN,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,COREY HAWKINS,BLACKKKLANSMAN,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,HARRY BELAFONTE,BLACKKKLANSMAN,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,JOHN DAVID WASHINGTON,BLACKKKLANSMAN,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,LAURA HARRIER,BLACKKKLANSMAN,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,TOPHER GRACE,BLACKKKLANSMAN,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,,BOHEMIAN RHAPSODY ,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,AIDAN GILLEN,BOHEMIAN RHAPSODY ,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,ALLEN LEECH,BOHEMIAN RHAPSODY,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,BEN HARDY,BOHEMIAN RHAPSODY,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,GWILYM LEE,BOHEMIAN RHAPSODY,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,JOE MAZZELLO,BOHEMIAN RHAPSODY,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,LUCY BOYNTON,BOHEMIAN RHAPSODY,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,MIKE MYERS,BOHEMIAN RHAPSODY,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,RAMI MALEK,BOHEMIAN RHAPSODY,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,TOM HOLLANDER,BOHEMIAN RHAPSODY,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,,CRAZY RICH ASIANS,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE, AWKWAFINA,CRAZY RICH ASIANS,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,CONSTANCE WU,CRAZY RICH ASIANS,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,GEMMA CHAN,CRAZY RICH ASIANS,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,HENRY GOLDING,CRAZY RICH ASIANS,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,KEN JEONG,CRAZY RICH ASIANS,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,LISA LU,CRAZY RICH ASIANS,FALSE
2019 - 25th Annual,CAST IN A MOTION PICTURE,MICHELLE YEOH,CRAZY RICH ASIANS,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,,ATLANTA,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,BRIAN TYREE HENRY,ATLANTA,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,DONALD GLOVER,ATLANTA,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,KHRIS DAVIS,ATLANTA,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,LAKEITH STANFIELD,ATLANTA,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,,BARRY,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,ALEJANDRO FURTH,BARRY,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,ANDY CAREY,BARRY,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,ANTHONY CARRIGAN,BARRY,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,BILL HADER,BARRY,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,D'ARCY CARDEN,BARRY,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,DARRELL BRITT-GIBSON,BARRY,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,GLENN FLESHLER,BARRY,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,HENRY WINKLER ,BARRY,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,JOHN PIRRUCCELLO,BARRY,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,KIRBY HOWELL-BAPTISTE,BARRY,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,PAULA NEWSOME,BARRY,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,RIGHTOR DOYLE,BARRY,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,SARAH GOLDBERG,BARRY,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,STEPHEN ROOT,BARRY,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,ALISON BRIE,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,BASHIR SALAHUDDIN,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,BETTY GILPIN,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,BRITNEY YOUNG,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,BRITT BARON,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,CHRIS LOWELL,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,ELLEN WONG,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,GAYLE RANKIN,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,JACKIE TOHN,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,KATE NASH,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,KIA STEVENS,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,KIMMY GATEWOOD,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,MARC MARON,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,REBEKKA JOHNSON,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,SHAKIRA BARRERA,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,SUNITA MANI,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,SYDELLE NOEL,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,VICTOR QUINAZ,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,WYATT NASH,GLOW,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,,THE KOMINSKY METHOD ,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,ALAN ARKIN,THE KOMINSKY METHOD ,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,ASHLEIGH LaTHROP,THE KOMINSKY METHOD,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,CASEY THOMAS BROWN,THE KOMINSKY METHOD,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,EMILY OSMENT,THE KOMINSKY METHOD,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,GRAHAM ROGERS,THE KOMINSKY METHOD,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,JENNA LYNG ADAMS,THE KOMINSKY METHOD ,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,MELISSA TANG,THE KOMINSKY METHOD,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,MICHAEL  DOUGLAS,THE KOMINSKY METHOD,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,NANCY TRAVIS,THE KOMINSKY METHOD,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,SARAH BAKER,THE KOMINSKY METHOD,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,SUSAN SULLIVAN,THE KOMINSKY METHOD,FALSE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,,THE MARVELOUS MRS. MAISEL,TRUE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,ALEX BORSTEIN,THE MARVELOUS MRS. MAISEL,TRUE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,BRIAN TARANTINA,THE MARVELOUS MRS. MAISEL,TRUE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,CAROLINE AARON,THE MARVELOUS MRS. MAISEL,TRUE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,KEVIN POLLAK,THE MARVELOUS MRS. MAISEL,TRUE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,MARIN HINKLE,THE MARVELOUS MRS. MAISEL,TRUE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,MICHAEL ZEGEN,THE MARVELOUS MRS. MAISEL,TRUE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,RACHEL BROSNAHAN,THE MARVELOUS MRS. MAISEL,TRUE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,TONY SHALHOUB,THE MARVELOUS MRS. MAISEL,TRUE
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,ZACHARY LEVI,THE MARVELOUS MRS. MAISEL,TRUE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,,BETTER CALL SAUL,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,BOB ODENKIRK ,BETTER CALL SAUL,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,GIANCARLO ESPOSITO,BETTER CALL SAUL,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,JONATHAN BANKS,BETTER CALL SAUL,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,MICHAEL MANDO,BETTER CALL SAUL,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,RAINER BOCK,BETTER CALL SAUL,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,RAY CAMPBELL,BETTER CALL SAUL,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,RHEA SEEHORN,BETTER CALL SAUL,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,,OZARK,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,CARSON HOLMES,OZARK,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,CHARLIE TAHAN,OZARK,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,DARREN GOLDSTEIN,OZARK,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,HARRIS YULIN,OZARK,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,JANET MCTEER,OZARK,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,JASON BATEMAN ,OZARK,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,JASON BUTLER,OZARK,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,JORDANA SPIRO,OZARK,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,JULIA GARNER,OZARK,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,LAURA LINNEY,OZARK,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,LISA EMERY,OZARK,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,PETER MULLAN,OZARK,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,ROBERT TREVEILER,OZARK,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,SKYLAR GAERTNER,OZARK,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,SOFIA HUBLITZ,OZARK,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,TREVOR LONG,OZARK,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,,THE AMERICANS,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,ANTHONY ARKIN,THE AMERICANS,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,BRANDON J. DIRDEN,THE AMERICANS,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,COSTA RONIN,THE AMERICANS,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,HOLLY TAYLOR,THE AMERICANS,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,KEIDRICH SELLATI,THE AMERICANS,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,KERI RUSSELL,THE AMERICANS,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,LAURIE HOLDEN,THE AMERICANS,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,MARGO MARTINDALE,THE AMERICANS,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,MATTHEW RHYS,THE AMERICANS,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,MIRIAM SHOR,THE AMERICANS,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,NOAH EMMERICH,THE AMERICANS,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,SCOTT COHEN,THE AMERICANS,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,,THE HANDMAID'S TALE,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,ALEXIS BLEDEL,THE HANDMAID'S TALE,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,AMANDA BRUGEL,THE HANDMAID'S TALE,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,ANN DOWD,THE HANDMAID'S TALE,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,BAHIA WATSON,THE HANDMAID'S TALE,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,ELISABETH MOSS,THE HANDMAID'S TALE,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,JOSEPH FIENNES,THE HANDMAID'S TALE,FALSE
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,MADELINE BREWER,THE HANDMAID'S TALE,FALSE
